🖥2023.5.4更新,#genre#
【美食】我是王刚,http://epg.112114.xyz/douyu/8144937
孤独的美食家,http://epg.112114.xyz/douyu/260322
MV点歌台,http://epg.112114.xyz/douyu/3186217
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
女神影院,https://pull.kktv8.com/livekktv/99350550.flv
1.吃米滴虫,http://epg.112114.xyz/douyu/315457
2.神乐影片1,http://epg.112114.xyz/douyu/122402
3.神乐影片2,http://epg.112114.xyz/douyu/85894
4.周末影院,http://epg.112114.xyz/douyu/3637765
5.特辑影院,http://epg.112114.xyz/douyu/3637778
6.刘德华电影2,http://epg.112114.xyz/douyu/8985415
7.喜剧经典,http://epg.112114.xyz/douyu/9650887
8.豆瓣高分,http://epg.112114.xyz/douyu/8770422
9.霍格影片,http://epg.112114.xyz/douyu/8814650
10.可乐电影,http://epg.112114.xyz/douyu/20415
11.奶虫恐怖电影,http://epg.112114.xyz/douyu/263824
12.星星影院,http://epg.112114.xyz/douyu/315131
13.科幻系列,http://epg.112114.xyz/douyu/8107217
14.变种人电影,http://epg.112114.xyz/douyu/9651304
15.小宇60帧,http://epg.112114.xyz/douyu/323876
16.华语动作电影,http://epg.112114.xyz/douyu/1504768
17.恐怖电影,http://epg.112114.xyz/douyu/310926
18.高帧影片,http://epg.112114.xyz/douyu/6763930
童年阴影鬼片恐怖惊悚,http://epg.112114.xyz/douyu/2935323
来这里开心就好,http://epg.112114.xyz/douyu/13071
华语热门影视剧,http://epg.112114.xyz/douyu/3928
周星驰✨星爷华语成龙电影神乐,http://epg.112114.xyz/douyu/122402
60帧极致蓝光刀刀陪看,http://epg.112114.xyz/douyu/747764
青春动作喜剧轮播,http://epg.112114.xyz/douyu/5423
港台 科幻 喜剧 动作,http://epg.112114.xyz/douyu/434971
❤️小U❤️丧尸鬼片恐怖惊悚电影,http://epg.112114.xyz/douyu/96577
【凌儿️】港剧️电影动作,http://epg.112114.xyz/douyu/1377142
经典高分电视剧,http://epg.112114.xyz/douyu/7254536
❤️冰冰❤️恐怖/经典/搞笑陪你一起,http://epg.112114.xyz/douyu/74374
【米尼影院】经典电视剧,http://epg.112114.xyz/douyu/7642724
全网最佳体验修复画质港剧24H,http://epg.112114.xyz/douyu/326852
三部曲86版+续集+后传,http://epg.112114.xyz/douyu/5472438
康熙王朝,http://epg.112114.xyz/douyu/9650836
搞笑的一家人,http://epg.112114.xyz/douyu/10084875
❤️小饼❤️一个神秘的电影直播间,http://epg.112114.xyz/douyu/1735337
清汤寡水之情景喜剧,http://epg.112114.xyz/douyu/3980787
鼎香楼的故事,http://epg.112114.xyz/douyu/299854
你好.我叫牛奶,http://epg.112114.xyz/douyu/7494871
你挑着担，我牵着马,http://epg.112114.xyz/douyu/8953746
茶啊二中,http://epg.112114.xyz/douyu/11213191
水友最爱看的电影,http://epg.112114.xyz/douyu/10240553
【恐怖】经典恐怖鬼怪剧场,http://epg.112114.xyz/douyu/1165374
来这里开心就好1557481,http://epg.112114.xyz/douyu/1557481
【贝爷影厅】欧美日韩国产2号厅,http://epg.112114.xyz/douyu/36337
精彩电影一网打尽。,http://epg.112114.xyz/douyu/9650887
开心情景剧-超清去片头片尾,http://epg.112114.xyz/douyu/6648727
✨神乐✨华语经典电影沈腾周星驰,http://epg.112114.xyz/douyu/85894
【恐怖电影】林正英僵尸鬼片经典,http://epg.112114.xyz/douyu/9275635
[兔兔陪看]撸猫观影聊天室,http://epg.112114.xyz/douyu/1504768
【特辑电影】有骨气酒楼营业中,http://epg.112114.xyz/douyu/3637778
(小毅）林正英，女鬼，僵尸，护体,http://epg.112114.xyz/douyu/6906628
【万合天宜】王大锤情怀上线,http://epg.112114.xyz/douyu/9220456
【贝贝】AI补帧军旅历史古装动作,http://epg.112114.xyz/douyu/431460
主角身份视角 挖掘深度的魅力,http://epg.112114.xyz/douyu/9129814
【笑场】喜剧电影专场,http://epg.112114.xyz/douyu/9292492
全网最清晰林正英僵尸道长,http://epg.112114.xyz/douyu/7356023
【RM-点播】点播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/131977
【西游】由爱故生怨，怨恨纠缠,http://epg.112114.xyz/douyu/10198644
【香港赌片】喜剧、黑帮、动作、武侠、经典,http://epg.112114.xyz/douyu/315457
走进“柯”学，西瓜讲柯南的案件~,http://epg.112114.xyz/douyu/9065082
四大名著（原版）,http://epg.112114.xyz/douyu/1046540
【经典神剧】,http://epg.112114.xyz/douyu/508118
【童年回忆】仨房间画面同步显示,http://epg.112114.xyz/douyu/6712083
金庸武侠、古装神剧,http://epg.112114.xyz/douyu/338759
【更新】最全斗牌、麻将剧集解说,http://epg.112114.xyz/douyu/9559158
【邵氏影院】经典武侠动作老电影你懂的,http://epg.112114.xyz/douyu/4246519
❤️曾小贤❤️胡一菲❤️9686235,http://epg.112114.xyz/douyu/9586235
雍正四阿哥经典电视,http://epg.112114.xyz/douyu/434971
❤️怡寶❤️ 港台 科幻 喜剧,http://epg.112114.xyz/douyu/4944033
【庆帝】云淡风轻正闲处，鲜衣怒马少年时,http://epg.112114.xyz/douyu/7489563
✨动漫✨热血木叶忍者草帽路飞青春,http://epg.112114.xyz/douyu/206858
⭐圆子⭐来看你老婆跳舞啦,http://epg.112114.xyz/douyu/6566658
【经典搞笑电视剧】轮播♥高清,http://epg.112114.xyz/douyu/5429211
海绵与大星直播间,http://epg.112114.xyz/douyu/2250349
【朱棣】笑天下可笑之人,http://epg.112114.xyz/douyu/308752
【牛叔】N分钟带你看完大片,http://epg.112114.xyz/douyu/2758565
林正英♥僵尸女鬼恐怖片♥国外惊悚鬼片专场,http://epg.112114.xyz/douyu/5503962
【片片】片荒的时候看片片,http://epg.112114.xyz/douyu/4258555
腰子and伦巴,http://epg.112114.xyz/douyu/6899895
速进！新片放映中！,http://epg.112114.xyz/douyu/10240510
反手一个好家伙,http://epg.112114.xyz/douyu/7270927
【康熙】张国立在线扫H除恶,http://epg.112114.xyz/douyu/7550220
【麓山迷踪】邪虐异染绝,http://epg.112114.xyz/douyu/4505431
【百晓生】经典武侠解说,http://epg.112114.xyz/douyu/9649681
【超清2】热门港剧天地,http://epg.112114.xyz/douyu/5522351
来呀官人，都是你的梦,http://epg.112114.xyz/douyu/9986305
「橙記」「最人气港剧直播间」,http://epg.112114.xyz/douyu/4549169
【洗碗君】解说爷青回！,http://epg.112114.xyz/douyu/9446706
扑朔迷离的案件里隐藏着什么？,http://epg.112114.xyz/douyu/610972
【体育】聊聊科比、乔丹传奇故事,http://epg.112114.xyz/douyu/8434598
【虫哥】魔性吐槽童年回忆,http://epg.112114.xyz/douyu/8915074
【周末影院】周末一部片，邀你看大片！,http://epg.112114.xyz/douyu/3637765
【周末电影】假期无事？来看电影！,http://epg.112114.xyz/douyu/3637726
【科幻Fans】精彩科幻影视，解说连连看,http://epg.112114.xyz/douyu/3508304
【樱木花道灌篮】PP动漫精彩解说,http://epg.112114.xyz/douyu/9837291
车模车展，全天播放,http://epg.112114.xyz/douyu/9805480
开心锤锤，开心快乐每一天！,http://epg.112114.xyz/douyu/9018297
【史君说剧】史君说尽天下好剧,http://epg.112114.xyz/douyu/9419771
【拳叔】那些经典的动漫,http://epg.112114.xyz/douyu/9484105
【科幻片】最专业的科幻片解说,http://epg.112114.xyz/douyu/9338839
【漫威】漫威主线剧情最佳观影顺序,http://epg.112114.xyz/douyu/6140589
东南亚丛林生活实录,http://epg.112114.xyz/douyu/9612117
【龙门】天山勾地火，宝塔镇蛇妖,http://epg.112114.xyz/douyu/9650860
【刘德华】庆祝华仔出道40周年,http://epg.112114.xyz/douyu/2516864
【豆瓣高分】史上最佳影片大放送,http://epg.112114.xyz/douyu/8770422
✨贝爷MAX厅✨科幻动作经典喜剧,http://epg.112114.xyz/douyu/4332
【三国】诸葛亮和司马懿,http://epg.112114.xyz/douyu/428402
【蓝翔】弹幕天团、下饭神剧[请勿刷屏],http://epg.112114.xyz/douyu/276200
迷小雅最新爽剧解说,http://epg.112114.xyz/douyu/9639225
【贤于葛格】最会讲电影的贤于来啦,http://epg.112114.xyz/douyu/9461990
【1900影剧室】精讲剧场,http://epg.112114.xyz/douyu/7796193
❤️傻妞❤️曾小贤❤️6863367,http://epg.112114.xyz/douyu/6863367
【雍正康熙】帝王故事连连看,http://epg.112114.xyz/douyu/4808115
战斗吧！热血动漫全看,http://epg.112114.xyz/douyu/9641152
史剧解说洪武年间大案,http://epg.112114.xyz/douyu/297689
【令狐冲】什么是江湖,http://epg.112114.xyz/douyu/9653063
【李卫】呀呀个呸的,http://epg.112114.xyz/douyu/7473576
